user_id,nickname,liked_count_sum,liked_count_mean,liked_count_max,shared_count_sum,shared_count_mean,shared_count_max,comment_count_sum,comment_count_mean,comment_count_max,collected_count_sum,collected_count_mean,collected_count_max,engagement_score_sum,engagement_score_mean,engagement_score_max,total_interactions_sum,total_interactions_mean,total_interactions_max,note_count,comprehensive_score
581970da82ec393678bdb380,开挖掘机的小乐乐,27944,27944.0,27944,3908,3908.0,3908,336,336.0,336,26080,26080.0,26080,144660,144660.0,144660,58268,58268.0,58268,1,145660.0
661e5092000000000b031911,夏天麻麻,27453,27453.0,27453,11321,11321.0,11321,201,201.0,201,17988,17988.0,17988,133770,133770.0,133770,56963,56963.0,56963,1,134770.0
6259a10e000000001000dff7,童话故事屋🎠【配音着呢,23926,23926.0,23926,10181,10181.0,10181,434,434.0,434,18287,18287.0,18287,128485,128485.0,128485,52828,52828.0,52828,1,129485.0
5fbb9c600000000001002a9f,爱听故事的小树懒,12529,12529.0,12529,10307,10307.0,10307,535,535.0,535,6923,6923.0,6923,72212,72212.0,72212,30294,30294.0,30294,1,73212.0
666559de00000000030301b3,达克鸭,12962,12962.0,12962,5059,5059.0,5059,258,258.0,258,8598,8598.0,8598,63047,63047.0,63047,26877,26877.0,26877,1,64047.0
60aca5aa000000000101d6e9,英语小书屋,14542,14542.0,14542,1344,1344.0,1344,117,117.0,117,11024,11024.0,11024,62904,62904.0,62904,27027,27027.0,27027,1,63904.0
5c6cb010000000001101ccc2,番茄麻麻,11381,11381.0,11381,1528,1528.0,1528,101,101.0,101,9941,9941.0,9941,55931,55931.0,55931,22951,22951.0,22951,1,56931.0
639478450000000026013820,洋洋童书屋,13349,13349.0,13349,3259,3259.0,3259,796,796.0,796,7494,7494.0,7494,54694,54694.0,54694,24898,24898.0,24898,1,55694.0
5d8d9f7700000000010094bd,百事橙子,9530,9530.0,9530,5240,5240.0,5240,246,246.0,246,4721,4721.0,4721,44626,44626.0,44626,19737,19737.0,19737,1,45626.0
66f53b80000000001d021106,尼可睡前故事,11009,11009.0,11009,709,709.0,709,473,473.0,473,5000,5000.0,5000,34082,34082.0,34082,17191,17191.0,17191,1,35082.0
659e182d000000002001d802,插画诗几木,5424,5424.0,5424,1569,1569.0,1569,58,58.0,58,3230,3230.0,3230,23167,23167.0,23167,10281,10281.0,10281,1,24167.0
5cc56afe0000000011009816,鸣溪儿童故事,4175,4175.0,4175,759,759.0,759,163,163.0,163,2698,2698.0,2698,17570,17570.0,17570,7795,7795.0,7795,1,18570.0
66987e0b000000000f0367bb,玫瑰的宝袋,3210,3210.0,3210,338,338.0,338,330,330.0,330,2344,2344.0,2344,14260,14260.0,14260,6222,6222.0,6222,1,15260.0
67ebf721000000000d009df3,可乐姐姐读绘本,2128,2128.0,2128,617,617.0,617,100,100.0,100,1219,1219.0,1219,9055,9055.0,9055,4064,4064.0,4064,1,10055.0
56590231589de3564b45dd7c,智慧子言,1401,1401.0,1401,796,796.0,796,42,42.0,42,855,855.0,855,7293,7293.0,7293,3094,3094.0,3094,1,8293.0
6268d054000000001000a787,城宝妈讲绘本,926,926.0,926,198,198.0,198,97,97.0,97,443,443.0,443,3486,3486.0,3486,1664,1664.0,1664,1,4486.0
605aafea0000000001006e7b,北大米叔,778,778.0,778,159,159.0,159,26,26.0,26,452,452.0,452,3115,3115.0,3115,1415,1415.0,1415,1,4115.0
60f51cf60000000001001d44,萌萌儿童故事,634,634.0,634,91,91.0,91,14,14.0,14,327,327.0,327,2243,2243.0,2243,1066,1066.0,1066,1,3243.0
62a8680c000000001b02a882,小兔子睡前故事,593,593.0,593,72,72.0,72,14,14.0,14,277,277.0,277,1945,1945.0,1945,956,956.0,956,1,2945.0
5decd1880000000001002641,西妈讲故事,284,284.0,284,14,14.0,14,11,11.0,11,138,138.0,138,900,900.0,900,447,447.0,447,1,1900.0
